Source,Target,Type,Weight,estimate
137,340,Undirected,0.6774213663401464,-0.6774213663401464
138,361,Undirected,0.633399209486166,0.633399209486166
139,358,Undirected,0.5276219979721581,-0.5276219979721581
140,328,Undirected,0.5502050406869198,-0.5502050406869198
140,329,Undirected,0.6172698342034846,-0.6172698342034846
140,330,Undirected,0.665173258143888,-0.665173258143888
140,333,Undirected,0.6200071727143647,-0.6200071727143647
140,332,Undirected,0.5604700601027205,-0.5604700601027205
141,338,Undirected,0.6935882782335573,0.6935882782335573
142,329,Undirected,0.7353595480238272,0.7353595480238272
142,330,Undirected,0.695329895208014,0.695329895208014
142,333,Undirected,0.5890783476104852,0.5890783476104852
143,329,Undirected,0.5400596113668262,0.5400596113668262
143,330,Undirected,0.5736896970563355,0.5736896970563355
144,362,Undirected,0.561010855216723,0.561010855216723
145,333,Undirected,0.5763622841424133,0.5763622841424133
146,347,Undirected,0.6110186657050931,0.6110186657050931
147,347,Undirected,0.5251612072623539,0.5251612072623539
147,349,Undirected,0.5751212336169583,-0.5751212336169583
148,342,Undirected,0.5420762757068093,0.5420762757068093
149,365,Undirected,0.5644703419850063,-0.5644703419850063
149,353,Undirected,0.5256577325211642,-0.5256577325211642
149,325,Undirected,0.5788141324390349,-0.5788141324390349
150,329,Undirected,0.6330095306410457,0.6330095306410457
151,346,Undirected,0.596055460744163,0.596055460744163
152,328,Undirected,0.5286561264822134,-0.5286561264822134
152,329,Undirected,0.683794466403162,-0.683794466403162
152,330,Undirected,0.6314229249011858,-0.6314229249011858
152,338,Undirected,0.6037549407114625,-0.6037549407114625
152,331,Undirected,0.6610671936758894,-0.6610671936758894
152,334,Undirected,0.5776397515527951,-0.5776397515527951
152,339,Undirected,0.5681818181818182,-0.5681818181818182
152,333,Undirected,0.7134387351778656,-0.7134387351778656
152,335,Undirected,0.6037549407114625,-0.6037549407114625
152,352,Undirected,0.5266798418972332,-0.5266798418972332
153,328,Undirected,0.6308905653616331,-0.6308905653616331
153,329,Undirected,0.6401854539857456,-0.6401854539857456
153,331,Undirected,0.6215956767375206,-0.6215956767375206
153,334,Undirected,0.541491738672589,-0.541491738672589
153,333,Undirected,0.7749613390353761,-0.7749613390353761
153,332,Undirected,0.6262431210495769,-0.6262431210495769
154,346,Undirected,0.5307951697615884,0.5307951697615884
155,334,Undirected,0.7387952174122908,-0.7387952174122908
155,364,Undirected,0.8117225864930513,0.8117225864930513
156,336,Undirected,0.5577203229478164,-0.5577203229478164
156,329,Undirected,0.5416890277344903,-0.5416890277344903
156,338,Undirected,0.5577203229478164,-0.5577203229478164
156,331,Undirected,0.5450640372530853,-0.5450640372530853
156,333,Undirected,0.5450640372530853,-0.5450640372530853
156,335,Undirected,0.5256577325211642,-0.5256577325211642
156,344,Undirected,0.5382552892483246,-0.5382552892483246
157,329,Undirected,0.5832707308237948,-0.5832707308237948
157,330,Undirected,0.5711445202037575,-0.5711445202037575
158,334,Undirected,0.5849439232966093,0.5849439232966093
159,329,Undirected,0.6599370923119845,-0.6599370923119845
159,330,Undirected,0.52980865157441,-0.52980865157441
159,333,Undirected,0.5367798180424944,-0.5367798180424944
160,334,Undirected,0.5633004603651794,0.5633004603651794
161,328,Undirected,0.5426374312717231,-0.5426374312717231
161,336,Undirected,0.5965083655034559,-0.5965083655034559
161,331,Undirected,0.5690117428226756,-0.5690117428226756
