label	NMDS1	NMDS2	type	sample_type	sampling_date	sampling_time	sampling_day	site	replicate	text_label
ASV_00158	-0.08722296156366707	0.10675499002035617	species	NA	NA	NA	NA	NA	NA	NA
ASV_00159	0.34787738171965504	0.012589288121515076	species	NA	NA	NA	NA	NA	NA	NA
ASV_00161	0.2504430605920073	0.04364224944970677	species	NA	NA	NA	NA	NA	NA	NA
ASV_00163	0.2381736500639181	0.027710998835087323	species	NA	NA	NA	NA	NA	NA	NA
ASV_00164	-0.4352645000198211	-0.040048317143491705	species	NA	NA	NA	NA	NA	NA	NA
ASV_00165	-0.6327692066880827	-0.06400606583673901	species	NA	NA	NA	NA	NA	NA	NA
ASV_00167	0.2491320806112791	0.03084379401124486	species	NA	NA	NA	NA	NA	NA	NA
ASV_00168	-0.028251310324780583	0.09636296226957781	species	NA	NA	NA	NA	NA	NA	NA
ASV_00171	0.26435037982872217	-0.07334699616547129	species	NA	NA	NA	NA	NA	NA	NA
ASV_00172	0.35476005235976527	0.04405689072863255	species	NA	NA	NA	NA	NA	NA	NA
ASV_00173	-0.04490144959587367	-0.032996675461935555	species	NA	NA	NA	NA	NA	NA	NA
ASV_00175	0.27087359889868295	0.06983628323790152	species	NA	NA	NA	NA	NA	NA	NA
ASV_00176	-0.47621973704073267	0.13852699021371767	species	NA	NA	NA	NA	NA	NA	NA
ASV_00177	0.23090663328916639	-0.11369268585677288	species	NA	NA	NA	NA	NA	NA	NA
ASV_00178	0.2044235154109714	-0.029419587009537243	species	NA	NA	NA	NA	NA	NA	NA
ASV_00180	0.26844695294292964	0.010269823627055757	species	NA	NA	NA	NA	NA	NA	NA
ASV_00181	0.10955363861088864	-0.06999667114030425	species	NA	NA	NA	NA	NA	NA	NA
ASV_00182	-0.2773574172565409	0.061467228832218716	species	NA	NA	NA	NA	NA	NA	NA
ASV_00183	0.015885753404595294	-0.7993162786751511	species	NA	NA	NA	NA	NA	NA	NA
ASV_00185	0.2798442168177927	0.03356688261777747	species	NA	NA	NA	NA	NA	NA	NA
ASV_00187	-0.2958139144067714	-0.006756296766114015	species	NA	NA	NA	NA	NA	NA	NA
ASV_00188	0.17881488655633737	0.10920417250620766	species	NA	NA	NA	NA	NA	NA	NA
ASV_00190	-0.006944038770592956	0.07407644122202736	species	NA	NA	NA	NA	NA	NA	NA
ASV_00191	0.020630078073973098	0.1647613009694118	species	NA	NA	NA	NA	NA	NA	NA
ASV_00192	0.2506849295717774	-0.017590033566180305	species	NA	NA	NA	NA	NA	NA	NA
ASV_00195	0.11422248348859775	-0.03490501748830822	species	NA	NA	NA	NA	NA	NA	NA
ASV_00196	0.3652638476525096	0.035322725313058134	species	NA	NA	NA	NA	NA	NA	NA
ASV_00197	0.4142607418922674	0.07996765417505265	species	NA	NA	NA	NA	NA	NA	NA
ASV_00199	-0.38570601562984363	-0.0054650564117628714	species	NA	NA	NA	NA	NA	NA	NA
ASV_00200	-0.9404050422649783	0.1252110884741973	species	NA	NA	NA	NA	NA	NA	NA
ASV_00201	0.17888746518756374	0.04445477213382357	species	NA	NA	NA	NA	NA	NA	NA
