set_label	metab_deriv_label	dispersion	sample_id	sample_type	sampling_date	sampling_time	sampling_day	site	grouping
Tektite.dawn	CINAR_BC_84	0.14202097793636362	Metab_316	seawater	20210125	dawn	Day4	Tektite	site.time
Tektite.dawn	CINAR_BC_75	0.12025432822432029	Metab_322	seawater	20210125	dawn	Day4	Tektite	site.time
Tektite.dawn	CINAR_BC_79	0.27825208908805166	Metab_241	seawater	20210123	dawn	Day2	Tektite	site.time
Tektite.dawn	CINAR_BC_105	0.21233453402886013	Metab_321	seawater	20210126	dawn	Day5	Tektite	site.time
Tektite.dawn	CINAR_BC_108	0.2391149202406318	Metab_315	seawater	20210126	dawn	Day5	Tektite	site.time
Tektite.dawn	CINAR_BC_62	0.19073184889393968	Metab_275	seawater	20210124	dawn	Day3	Tektite	site.time
Tektite.dawn	CINAR_BC_36	0.3579947411219602	Metab_231	seawater	20210123	dawn	Day2	Tektite	site.time
Tektite.dawn	CINAR_BC_60	0.11396530492943159	Metab_278	seawater	20210124	dawn	Day3	Tektite	site.time
Tektite.dawn	CINAR_BC_56	0.4134838014814997	Metab_290	seawater	20210124	dawn	Day3	Tektite	site.time
Tektite.dawn	CINAR_BC_81A	0.11171400186020856	Metab_319	seawater	20210125	dawn	Day4	Tektite	site.time
Tektite.peak_photo	CINAR_BC_98	0.38974468982239713	Metab_270	seawater	20210125	peak_photo	Day4	Tektite	site.time
Tektite.peak_photo	CINAR_BC_90	0.17855018959467728	Metab_264	seawater	20210125	peak_photo	Day4	Tektite	site.time
Tektite.peak_photo	CINAR_BC_72	0.2743448425684646	Metab_266	seawater	20210124	peak_photo	Day3	Tektite	site.time
Tektite.peak_photo	CINAR_BC_93	0.14120848637085792	Metab_261	seawater	20210125	peak_photo	Day4	Tektite	site.time
Tektite.peak_photo	CINAR_BC_42	0.16012054035003523	Metab_224	seawater	20210123	peak_photo	Day2	Tektite	site.time
Tektite.peak_photo	CINAR_BC_43	0.2236386205746096	Metab_236	seawater	20210123	peak_photo	Day2	Tektite	site.time
Tektite.peak_photo	CINAR_BC_68	0.23016108630605628	Metab_283	seawater	20210124	peak_photo	Day3	Tektite	site.time
Tektite.peak_photo	CINAR_BC_66	0.17676100490347293	Metab_277	seawater	20210124	peak_photo	Day3	Tektite	site.time
Tektite.peak_photo	CINAR_BC_116	0.14870084085749946	Metab_314	seawater	20210126	peak_photo	Day5	Tektite	site.time
Tektite.peak_photo	CINAR_BC_115	0.21304820772150174	Metab_311	seawater	20210126	peak_photo	Day5	Tektite	site.time
Tektite.peak_photo	CINAR_BC_112	0.19812020359901836	Metab_320	seawater	20210126	peak_photo	Day5	Tektite	site.time
Tektite.peak_photo	CINAR_BC_65	0.17878237145160433	Metab_277	seawater	20210124	peak_photo	Day3	Tektite	site.time
Tektite.peak_photo	CINAR_BC_44	0.2030341094094347	Metab_227	seawater	20210123	peak_photo	Day2	Tektite	site.time
